datetime,date,hour,time_period,day_of_week,month,is_weekend,season,is_holiday,weather_condition,temperature_c,humidity_percent,wind_speed_m_s,visibility_m,solar_radiation_mj_m2,rainfall_mm,snowfall_cm,rented_bike_count
2017-12-01 00:00:00,2017-12-01,0,Night,Friday,12,0,Winter,0,Dry,-5.2,37,2.2,20000,0.0,0.0,0.0,254
2017-12-01 01:00:00,2017-12-01,1,Night,Friday,12,0,Winter,0,Dry,-5.5,38,0.8,20000,0.0,0.0,0.0,204
2017-12-01 02:00:00,2017-12-01,2,Night,Friday,12,0,Winter,0,Dry,-6.0,39,1.0,20000,0.0,0.0,0.0,173
2017-12-01 03:00:00,2017-12-01,3,Night,Friday,12,0,Winter,0,Dry,-6.2,40,0.9,20000,0.0,0.0,0.0,107
2017-12-01 04:00:00,2017-12-01,4,Night,Friday,12,0,Winter,0,Dry,-6.0,36,2.3,20000,0.0,0.0,0.0,78
2017-12-01 05:00:00,2017-12-01,5,Night,Friday,12,0,Winter,0,Dry,-6.4,37,1.5,20000,0.0,0.0,0.0,100
2017-12-01 06:00:00,2017-12-01,6,Morning,Friday,12,0,Winter,0,Dry,-6.6,35,1.3,20000,0.0,0.0,0.0,181
2017-12-01 07:00:00,2017-12-01,7,Morning,Friday,12,0,Winter,0,Dry,-7.4,38,0.9,20000,0.0,0.0,0.0,460
2017-12-01 08:00:00,2017-12-01,8,Morning,Friday,12,0,Winter,0,Dry,-7.6,37,1.1,20000,0.01,0.0,0.0,930
2017-12-01 09:00:00,2017-12-01,9,Morning,Friday,12,0,Winter,0,Dry,-6.5,27,0.5,19280,0.23,0.0,0.0,490
2017-12-01 10:00:00,2017-12-01,10,Morning,Friday,12,0,Winter,0,Dry,-3.5,24,1.2,19960,0.65,0.0,0.0,339
2017-12-01 11:00:00,2017-12-01,11,Morning,Friday,12,0,Winter,0,Dry,-0.5,21,1.3,19360,0.94,0.0,0.0,360
2017-12-01 12:00:00,2017-12-01,12,Afternoon,Friday,12,0,Winter,0,Dry,1.7,23,1.4,20000,1.11,0.0,0.0,449
2017-12-01 13:00:00,2017-12-01,13,Afternoon,Friday,12,0,Winter,0,Dry,2.4,25,1.6,20000,1.16,0.0,0.0,451
2017-12-01 14:00:00,2017-12-01,14,Afternoon,Friday,12,0,Winter,0,Dry,3.0,26,2.0,20000,1.01,0.0,0.0,447
2017-12-01 15:00:00,2017-12-01,15,Afternoon,Friday,12,0,Winter,0,Dry,2.1,36,3.2,20000,0.54,0.0,0.0,463
2017-12-01 16:00:00,2017-12-01,16,Afternoon,Friday,12,0,Winter,0,Dry,1.2,54,4.2,7930,0.24,0.0,0.0,484
2017-12-01 17:00:00,2017-12-01,17,Evening,Friday,12,0,Winter,0,Dry,0.8,58,1.6,20000,0.08,0.0,0.0,555
2017-12-01 18:00:00,2017-12-01,18,Evening,Friday,12,0,Winter,0,Dry,0.6,66,1.4,20000,0.0,0.0,0.0,862
2017-12-01 19:00:00,2017-12-01,19,Evening,Friday,12,0,Winter,0,Dry,0.0,77,1.7,20000,0.0,0.0,0.0,600
2017-12-01 20:00:00,2017-12-01,20,Evening,Friday,12,0,Winter,0,Dry,-0.3,79,1.5,19130,0.0,0.0,0.0,426
2017-12-01 21:00:00,2017-12-01,21,Late night,Friday,12,0,Winter,0,Dry,-0.8,81,0.8,16870,0.0,0.0,0.0,405
2017-12-01 22:00:00,2017-12-01,22,Late night,Friday,12,0,Winter,0,Dry,-0.9,83,1.5,13800,0.0,0.0,0.0,398
2017-12-01 23:00:00,2017-12-01,23,Late night,Friday,12,0,Winter,0,Dry,-1.3,84,1.0,12650,0.0,0.0,0.0,323
2017-12-02 00:00:00,2017-12-02,0,Night,Saturday,12,1,Winter,0,Dry,-1.8,87,1.1,9940,0.0,0.0,0.0,328
2017-12-02 01:00:00,2017-12-02,1,Night,Saturday,12,1,Winter,0,Dry,-2.2,86,0.6,9900,0.0,0.0,0.0,308
2017-12-02 02:00:00,2017-12-02,2,Night,Saturday,12,1,Winter,0,Dry,-2.9,86,1.5,12560,0.0,0.0,0.0,262
2017-12-02 03:00:00,2017-12-02,3,Night,Saturday,12,1,Winter,0,Dry,-3.5,81,2.2,12210,0.0,0.0,0.0,167
2017-12-02 04:00:00,2017-12-02,4,Night,Saturday,12,1,Winter,0,Dry,-3.8,79,2.0,11670,0.0,0.0,0.0,89
2017-12-02 05:00:00,2017-12-02,5,Night,Saturday,12,1,Winter,0,Dry,-4.0,79,1.5,12020,0.0,0.0,0.0,79
2017-12-02 06:00:00,2017-12-02,6,Morning,Saturday,12,1,Winter,0,Dry,-4.3,82,2.1,11780,0.0,0.0,0.0,70
2017-12-02 07:00:00,2017-12-02,7,Morning,Saturday,12,1,Winter,0,Dry,-4.4,81,2.5,12760,0.0,0.0,0.0,146
2017-12-02 08:00:00,2017-12-02,8,Morning,Saturday,12,1,Winter,0,Dry,-4.2,79,2.1,14360,0.01,0.0,0.0,219
2017-12-02 09:00:00,2017-12-02,9,Morning,Saturday,12,1,Winter,0,Dry,-2.9,68,1.6,14870,0.3,0.0,0.0,328
2017-12-02 10:00:00,2017-12-02,10,Morning,Saturday,12,1,Winter,0,Dry,-0.4,57,1.6,13090,0.8,0.0,0.0,334
2017-12-02 11:00:00,2017-12-02,11,Morning,Saturday,12,1,Winter,0,Dry,1.9,49,1.8,14060,1.0,0.0,0.0,388
2017-12-02 12:00:00,2017-12-02,12,Afternoon,Saturday,12,1,Winter,0,Dry,4.3,41,1.3,16660,1.09,0.0,0.0,479
2017-12-02 13:00:00,2017-12-02,13,Afternoon,Saturday,12,1,Winter,0,Dry,6.0,36,1.8,17800,1.12,0.0,0.0,606
2017-12-02 14:00:00,2017-12-02,14,Afternoon,Saturday,12,1,Winter,0,Dry,7.3,35,1.3,19550,0.99,0.0,0.0,611
2017-12-02 15:00:00,2017-12-02,15,Afternoon,Saturday,12,1,Winter,0,Dry,7.6,41,2.3,19530,0.74,0.0,0.0,589
2017-12-02 16:00:00,2017-12-02,16,Afternoon,Saturday,12,1,Winter,0,Dry,6.4,48,2.6,19450,0.22,0.0,0.0,618
2017-12-02 17:00:00,2017-12-02,17,Evening,Saturday,12,1,Winter,0,Dry,6.0,51,2.5,18910,0.06,0.0,0.0,572
2017-12-02 18:00:00,2017-12-02,18,Evening,Saturday,12,1,Winter,0,Dry,5.5,53,1.5,16970,0.0,0.0,0.0,489
2017-12-02 19:00:00,2017-12-02,19,Evening,Saturday,12,1,Winter,0,Dry,5.0,52,2.3,16660,0.0,0.0,0.0,385
2017-12-02 20:00:00,2017-12-02,20,Evening,Saturday,12,1,Winter,0,Dry,4.6,51,1.2,15850,0.0,0.0,0.0,359
2017-12-02 21:00:00,2017-12-02,21,Late night,Saturday,12,1,Winter,0,Dry,4.1,55,1.2,14480,0.0,0.0,0.0,377
2017-12-02 22:00:00,2017-12-02,22,Late night,Saturday,12,1,Winter,0,Dry,3.5,54,1.5,14460,0.0,0.0,0.0,354
2017-12-02 23:00:00,2017-12-02,23,Late night,Saturday,12,1,Winter,0,Dry,4.0,56,1.0,13520,0.0,0.0,0.0,366
2017-12-03 00:00:00,2017-12-03,0,Night,Sunday,12,1,Winter,0,Dry,4.0,58,1.4,12960,0.0,0.0,0.0,342
